"Story","Title","Result","Date","Stability","Duration (s)"
"Login admin Feature testing","Login Admin with valid email and password","SUCCESS","2022-12-07T00:21:01.8735361+07:00[Asia/Bangkok]","0.0","6.5"
"Login admin Feature testing","Login Admin with invalid email and password","SUCCESS","2022-12-07T00:21:08.4107914+07:00[Asia/Bangkok]","0.0","0.21"
"Login admin Feature testing","Login Admin With Invalid path","SUCCESS","2022-12-07T00:21:08.6403931+07:00[Asia/Bangkok]","0.0","0.17"
"Login admin Feature testing","Login Admin Without Email","SUCCESS","2022-12-07T00:21:08.8299683+07:00[Asia/Bangkok]","0.0","0.18"
"Login admin Feature testing","Login admin Without Password","SUCCESS","2022-12-07T00:21:09.0209763+07:00[Asia/Bangkok]","0.0","0.17"
"Service vehicle customer","Get all vehicle service with valid parameter id","SUCCESS","2022-12-07T00:21:09.2690077+07:00[Asia/Bangkok]","0.0","0.69"
"Service vehicle customer","Get all Vehicle service with invalid parameter id","SUCCESS","2022-12-07T00:21:09.966488+07:00[Asia/Bangkok]","0.0","0.55"
"Service vehicle customer","Get Vehicle service without id","SUCCESS","2022-12-07T00:21:10.5232978+07:00[Asia/Bangkok]","0.0","0.17"
"Service vehicle customer","Get vehicle service customer with invalid path","SUCCESS","2022-12-07T00:21:10.7015651+07:00[Asia/Bangkok]","0.0","0.16"
"Service vehicle customer","Get vehicle service customer with invalid token","SUCCESS","2022-12-07T00:21:10.8689548+07:00[Asia/Bangkok]","0.0","0.16"
"Transaction user","Transaction user with valid path","SUCCESS","2022-12-07T00:21:11.0573676+07:00[Asia/Bangkok]","0.0","1.11"
"Transaction user","Transaction user with invalid path","SUCCESS","2022-12-07T00:21:12.1761936+07:00[Asia/Bangkok]","0.0","0.19"
"Transaction user","Transaction user with invalid location id","SUCCESS","2022-12-07T00:21:12.3786877+07:00[Asia/Bangkok]","0.0","1.03"
"Transaction user","Transaction user with invalid vehicle id","SUCCESS","2022-12-07T00:21:13.4169132+07:00[Asia/Bangkok]","0.0","1.02"
"Transaction user","Transaction user with invalid service id","SUCCESS","2022-12-07T00:21:14.4425146+07:00[Asia/Bangkok]","0.0","1.01"
"Transaction user","Transaction user without date","SUCCESS","2022-12-07T00:21:15.4645993+07:00[Asia/Bangkok]","0.0","0.15"
"Transaction user","Transaction user without phone number","SUCCESS","2022-12-07T00:21:15.6285205+07:00[Asia/Bangkok]","0.0","0.16"
"Transaction user","Transaction user without Address","SUCCESS","2022-12-07T00:21:15.7974128+07:00[Asia/Bangkok]","0.0","0.17"
"Transaction user","Get on going Transaction with valid parameter and valid token","SUCCESS","2022-12-07T00:21:15.9755783+07:00[Asia/Bangkok]","0.0","0.16"
"Transaction user","Get on going Transaction with invalid parameter","SUCCESS","2022-12-07T00:21:16.1473283+07:00[Asia/Bangkok]","0.0","0.14"
"Transaction user","Get on going Transaction with invalid token","SUCCESS","2022-12-07T00:21:16.2996512+07:00[Asia/Bangkok]","0.0","0.14"
"Transaction user","Get detail transaction with valid parameter id","SUCCESS","2022-12-07T00:21:16.4508727+07:00[Asia/Bangkok]","0.0","0.19"
"Transaction user","Get detail transaction with invalid parameter id","SUCCESS","2022-12-07T00:21:16.6538308+07:00[Asia/Bangkok]","0.0","0.15"
"Transaction user","Get detail transaction with invalid token","SUCCESS","2022-12-07T00:21:16.8127373+07:00[Asia/Bangkok]","0.0","0.18"
